E06000001,0.5685153559340685,1.6279741869310345,,1335,240,130,70,20,15,5
E07000168,0.8189138004602501,1.3462916213760168,,2740,600,290,135,30,15,5
E07000169,0.376360880498708,1.5285449166417178,,2485,380,160,90,25,10,5
E07000170,0.7089131014757533,1.7492586940112531,,1685,355,210,100,45,25,20
E07000171,0.5824790378371274,1.5517107404778092,,2500,475,210,125,30,20,10
E07000172,0.42319620606210234,1.6218402790917859,,2050,355,140,95,20,15,10
E07000173,0.39986274719725273,1.6451546673013289,,2240,380,160,100,25,10,15
E07000174,0.847998207357646,1.5006430342801005,,1555,375,175,105,25,15,10
E07000175,0.6120596593470573,1.4503125018671315,,3100,590,250,125,40,20,5
E07000176,0.28058362567926476,1.630936271215826,,3305,470,240,110,25,25,10
E07000177,0.38028909876281325,1.681373646432236,,4580,730,350,215,60,35,20
E07000192,0.5957794611005083,1.4803427470704371,,2250,395,200,110,25,10,5
E07000178,0.4777860243207274,1.926898676466999,,2905,565,285,145,60,65,40
E07000179,0.29323141135693986,1.5952786905780363,,5715,865,370,165,55,25,25
E07000180,0.3929500136942904,1.7059579004005545,,3860,660,295,165,60,30,25
E07000181,0.5650358865516407,1.4516505367484775,,3875,735,290,140,25,25,15
E07000187,0.48430855691517827,1.4978349085758533,,3925,655,285,155,40,25,5
E07000188,0.5473024572593839,1.4298095712239562,,3400,595,250,125,35,15,5
E07000189,0.42887543781881615,1.595675050581075,,4995,845,355,205,60,40,15
E07000190,0.3126402434748971,1.7721252136352799,,3190,510,260,130,40,20,30
E07000191,0.5453038548784622,1.2717226908109702,,1320,210,75,40,10,0,0
E07000193,0.4204012263838617,1.6621784432277666,,3005,525,230,130,30,25,20
E07000194,0.29902104818164305,1.6706054347421453,,3245,530,195,115,40,25,15
E07000195,0.6619564823165215,1.5876408777225033,,2180,445,220,120,30,20,15
E07000196,0.45609788096357756,1.4656934857929333,,2885,505,175,85,30,10,10
E07000197,0.4483201390465882,1.5754414652447828,,3535,620,245,140,45,20,15
E07000198,0.4538046707329413,1.3336493609330857,,2965,455,165,75,10,15,0
E07000199,0.6955676710790261,1.5785828106246813,,1410,275,155,85,25,15,5
E07000200,0.4939581244380424,1.488954620793893,,2955,490,230,105,35,15,5
E07000201,0.7727982859855405,1.4346974371924992,,1555,350,155,70,30,10,5
E07000202,0.647541108030934,1.7062285878157748,,2350,495,250,135,35,35,25
E07000203,0.35203588499772165,1.5420828567411446,,3580,555,220,120,35,15,10
E07000204,0.5643190383989926,1.6193257567590895,,2975,565,255,155,50,25,15
E07000205,0.5975205564321785,1.496921070554648,,3685,705,320,150,40,25,15
E07000206,0.7059471583941799,1.4720087935455806,,2440,525,220,115,40,15,10
E07000207,-0.12785813779257862,1.842324916075031,,6025,690,305,160,60,45,20
E07000208,-0.1286354850473127,1.8572274813096579,,2355,275,135,55,15,15,15
E07000209,0.3730723284039915,1.645548494392057,,4965,790,385,180,70,35,20
E07000210,0.10821584741657517,1.7582230762186237,,3905,550,220,135,25,25,25
E07000211,0.09858996838780139,1.7422810513794689,,4705,640,270,145,45,25,25
E07000212,0.11444651373912039,2.0349199631645885,,2825,445,190,110,60,35,35
E07000213,0.09642749087933002,1.768542802527377,,3030,410,185,90,35,20,15
E07000214,-0.000518906185458972,1.9119304738500529,,3370,440,215,110,45,25,25
E07000215,0.32675310990575496,1.5187208298411838,,3440,520,215,90,20,20,10
E07000216,0.28176173968805657,1.596678994955492,,5680,845,355,170,50,40,15
E07000217,0.19360589570958212,1.813531906533092,,3250,465,230,135,45,25,20
E07000218,0.5222867081178383,1.707346902570974,,1850,345,175,90,30,20,15
E07000219,0.5690931620643467,1.5826561723435055,,2155,400,195,100,35,15,10
E07000220,0.2994858698480244,1.69261493024557,,2870,445,205,105,35,20,15
E07000221,0.3765650091692455,1.5496345925831214,,5615,870,400,185,50,25,20
E07000222,0.1792090948337789,1.8075249383596899,,4860,700,340,185,65,30,35
E07000223,0.5642664339547865,1.4952798097904283,,1500,275,125,60,15,10,5
E07000224,0.4966919290507358,1.4685364584380218,,3625,600,245,160,40,10,5
E07000225,0.42953140602352097,1.5809210063246222,,4495,765,310,185,55,20,20
E07000226,0.28927105904753664,2.1104812810314866,,1865,315,170,95,50,30,35
E07000227,0.35973534359915676,1.576199663467707,,4975,750,360,170,60,20,15
E07000228,0.3836531500064858,1.6175635800140111,,4830,775,365,175,60,30,20
E07000229,0.338837031504642,1.7793039935393018,,2390,375,200,115,35,15,20
E07000234,0.28473723282878255,1.6834995349777924,,3225,485,230,120,30,25,15
E07000235,0.35886109504295194,1.541588361819367,,3105,480,205,100,25,15,10
E07000236,0.5619957671696035,1.769747686909873,,1735,330,170,100,45,20,15
E07000237,0.4919731119018973,1.7961365361301833,,1925,355,180,110,30,25,20
E07000238,0.2811561587810819,1.6624141735618376,,4565,690,310,150,60,25,20
E07000239,0.4677551584825223,1.5793008106195496,,2445,410,205,95,30,15,10
E07000240,0.0358648964363686,1.7755317216458226,,5695,750,310,160,60,40,25
E07000241,0.07697947358727196,1.9702247994098847,,3130,470,200,120,45,30,35
E07000242,0.2724417020672274,1.6304585579052877,,5335,790,365,150,55,35,20
E07000243,0.0959908115714796,1.913796284396203,,1785,260,115,70,20,20,15
E08000001,0.5285546294466846,1.6381159308837707,,5435,990,490,265,80,40,35
E08000002,0.5381017344616651,1.527524305992242,,4085,725,345,160,55,30,10
E08000003,0.643304965719571,1.7146595223275602,,9470,1930,1050,525,190,125,95
E08000004,0.6214444929819748,1.6217292321587076,,3880,745,405,195,65,45,20
E08000005,0.6332256173429054,1.6377810729473496,,3710,735,345,230,75,35,20
E08000006,0.5476798908661703,1.7029508462120038,,4570,835,475,230,80,40,40
E08000007,0.4848731644209235,1.5797190643237762,,7470,1260,655,285,105,45,30
E08000008,0.5962997999934031,1.5951836917952356,,3745,685,360,205,60,30,15
E08000009,0.288498204902971,1.7962005243391574,,7025,1100,555,290,90,75,50
E08000010,0.5404833995875816,1.6091772233918302,,5285,985,475,245,55,45,35
E08000011,0.7401168815253016,1.7242229119160433,,1545,360,170,95,45,20,20
E08000012,0.720019625154569,1.6795020511255487,,6745,1505,715,415,165,95,60
E08000013,0.6962233824435947,1.6175455879835285,,2525,505,270,165,55,20,15
E08000014,0.6051135730836598,1.5364835808766697,,4675,850,460,215,65,35,15
E08000015,0.6491588083520248,1.5273997814643396,,5055,995,490,245,65,45,20
E08000016,0.5792032640624941,1.6265068791950454,,3695,680,355,200,60,30,20
E08000017,0.6285825752309421,1.6182388509123746,,4610,945,435,250,65,45,35
E08000018,0.6846905335484544,1.653713217750535,,3815,770,415,235,90,40,25
E08000019,0.7207829085700825,1.6252028757927512,,8990,1905,970,580,180,105,60
E08000021,0.8146195684411773,1.6844985138277322,,4285,1060,515,285,100,65,60
E08000022,0.6957535003275743,1.6143309498601202,,2755,600,275,155,55,30,20
E08000023,0.8016959079390844,1.565575980796594,,1655,385,190,95,40,20,10
E08000024,0.8618848467606911,1.5635883980272305,,3075,750,395,200,60,35,30
E08000025,0.6041738209458654,1.6457798091930544,,18075,3590,1790,870,325,190,130
E08000026,0.3551436432133997,1.773884367818613,,5540,935,435,260,65,50,50
E08000027,0.6615976347603805,1.556126819549679,,6100,1205,605,330,95,55,25
E08000028,0.8391328465541837,1.6191780698758207,,4410,1030,535,325,120,55,35
E08000029,0.04371254952285269,1.8707910653059574,,5310,700,335,195,60,40,35
E08000030,0.6307668765765191,1.6821900287475058,,4330,840,440,270,100,40,30
E08000031,0.7082880362447926,1.630594953003134,,4055,855,440,250,80,45,30
E08000032,0.5517512587887797,1.662872946939732,,9190,1760,820,480,140,90,65
E08000033,0.5538398673739253,1.6188628388234083,,5000,915,455,245,80,50,20
E08000034,0.6083354005806596,1.5886899897424116,,8765,1715,845,405,145,65,55
E08000035,0.5674452896375879,1.7140704626233625,,15405,2975,1495,810,320,170,125
E08000036,0.6375430371289763,1.648738261773572,,5430,1100,530,300,120,55,35
E08000037,0.8436536467061054,1.6610886133987464,,2855,690,340,220,80,40,30
E09000001,0.879566144649589,1.904369724446756,,8840,2055,1360,740,355,215,210
E09000002,0.2568740999207288,1.6533678796895936,,2930,405,225,80,40,15,10
E09000003,0.12509012532457267,1.536638776334988,,14195,1775,675,280,95,45,30
E09000004,0.2590970585139169,1.6653904125900845,,4850,725,305,170,50,40,15
E09000019,0.3948749091267822,1.826192829258953,,9305,1510,885,465,180,90,85
E09000005,0.11939807845259341,1.7047263627057627,,9000,1220,515,255,90,55,35
E09000006,0.13393914298489445,1.6821438242134286,,9150,1225,505,265,115,55,20
E09000007,0.40054890647486685,1.8373637843365223,,16270,2775,1490,785,320,185,160
E09000008,0.03715622980013592,1.8058341569193141,,8670,1150,490,270,85,65,45
E09000009,0.0687282972733183,1.7393553402956121,,10280,1330,610,275,100,70,40
E09000010,0.23780987101036846,1.6109982789789452,,7245,1050,435,210,65,30,30
E09000011,-0.03921593600009347,1.722226483212861,,5140,575,270,135,40,30,10
E09000012,0.3063172436167751,1.619608679413207,,8410,1255,585,280,85,50,30
E09000013,0.10442882870650987,1.8836651602274086,,8040,1105,575,285,120,65,60
E09000014,0.18561533977587316,1.4881210228918758,,7080,890,350,150,45,20,10
E09000015,-0.0010746561910154717,1.659658396206174,,8340,1000,375,195,60,40,20
E09000016,0.35719250320238227,1.5972948249797074,,5405,865,355,190,60,40,15
E09000017,-0.03650027050950802,2.038095238931585,,7220,995,460,240,120,75,75
E09000018,-0.11291870260974922,1.992044379573254,,7735,965,480,225,100,65,65
E09000020,0.414050539679677,1.653723684865169,,8110,1345,675,310,115,55,45
E09000033,0.7521226401972664,1.7102244467199053,,28035,6215,3615,1635,660,425,350
S12000005,0.7486647882818542,1.4364489683389938,,705,150,85,25,5,5,5
E09000021,0.14407107846285627,1.718513137500056,,5320,745,325,155,45,40,25
S12000006,0.8226869493337847,1.2526460071945311,,4365,1000,410,140,35,20,10
S12000008,0.6679590940780898,1.4708754537150217,,2010,410,195,80,20,15,10
S12000010,0.7822141545497789,1.3220819240144634,,1925,415,180,85,20,5,5
E09000022,-0.1233805257221206,1.9049313593458368,,8190,935,470,260,75,65,40
E09000023,-0.007625990077181607,1.6012082617585688,,5670,630,250,120,40,15,10
S12000011,0.38638508681177464,1.5079822429917311,,1730,265,125,50,10,10,5
S12000013,0.6652422088586798,1.2567679230418103,,805,135,65,30,5,0,0
S12000014,0.5514202342399098,1.6646104848339083,,2300,435,220,105,40,25,15
S12000015,0.7377915258075206,1.5039035758805661,,5670,1250,565,310,80,40,35
S12000017,0.5791769958382702,1.4409084156665248,,7520,1355,635,265,70,40,20
S12000018,0.6420433429371526,1.6703948362810601,,1040,215,115,45,25,10,10
S12000019,0.841657430010895,1.4136582661626256,,1350,305,145,90,20,5,5
S12000020,0.6580898380500282,1.4746164809699962,,2135,425,195,100,25,10,10
S12000021,0.7136858680652962,1.4695381131631176,,2010,440,185,95,25,15,10
S12000023,0.40696571149211563,1.4311799684640112,,1115,150,85,35,5,5,0
S12000024,0.7124232317056739,1.4409099007767374,,4025,835,405,170,45,30,15
S12000026,0.6868380031489089,1.3830930721680075,,3510,745,280,130,30,25,10
S12000027,0.7777730429593117,1.3135487922410582,,960,185,110,35,10,5,0
S12000028,0.7690405735264821,1.4640273386616702,,2235,520,220,95,50,15,10
S12000029,0.628910262940941,1.5350645886896024,,5475,1065,535,245,75,35,30
S12000030,0.4904237220750455,1.5644303196771678,,2650,475,205,105,35,10,15
E09000024,-0.048610041879752264,1.7718644286667051,,6600,725,370,195,75,30,15
E09000025,0.1537138477389675,1.6420462340655468,,4890,670,275,125,45,20,20
E09000026,0.030472264974321806,1.6206504331838745,,7290,835,365,170,50,25,15
E09000027,-0.059786549120500014,1.7174542512522097,,9050,1035,465,200,55,40,35
S12000033,0.3643772132443009,2.0072112231083254,,5790,880,600,350,160,85,70
S12000034,0.30868851494625765,1.5357639750182306,,10250,1465,635,325,90,40,20
S12000035,0.7184170284871622,1.2768829751758943,,2780,565,225,85,20,10,5
S12000036,0.530786432109925,1.7112931131985654,,10875,2060,1085,490,170,115,105
S12000038,0.611838640586468,1.7030368441593928,,2775,545,310,140,55,25,30
S12000039,0.743371223992949,1.5571911850897278,,1055,235,105,60,25,10,5
S12000040,0.6053428620597979,1.6736581460723492,,2660,540,255,140,45,35,20
E09000028,0.39455407074374077,1.8339110864570796,,9030,1485,830,470,170,100,80
S12000041,0.7336630486704706,1.3735017527387272,,2550,515,255,105,25,15,5
E09000029,0.16504097839372955,1.6901176408659635,,5000,680,315,155,45,30,20
W06000016,0.6496901891304984,1.5818359494987049,,3105,675,275,140,60,30,20
W06000018,0.6830550931340144,1.6064515637434749,,2290,505,225,110,45,30,15
W06000019,0.8848530054381603,1.4650309207199832,,685,180,75,40,15,5,5
W06000020,0.823989740709717,1.5072408442272722,,1225,285,155,70,10,15,10
W06000021,0.3596041243983739,1.5144986576061914,,3105,475,205,85,30,10,10
W06000022,0.6015065412515667,1.6606354946364101,,2305,455,230,120,40,20,20
W06000023,0.22823330383791077,1.4472568841166478,,6990,910,330,150,35,20,10
W06000024,0.8185460248724923,1.4888396134660307,,675,160,75,40,10,5,5
E09000030,0.18247922967947974,1.9087540295792673,,8350,1280,605,330,135,95,75
E09000031,0.21609806156937994,1.5505998748275405,,5395,715,325,120,45,25,10
E09000032,-0.19409437990935993,1.786463899534288,,11375,1155,575,250,70,50,40
S12000042,1.026083648194353,1.5343926883866401,,1755,505,245,155,40,25,20
S12000044,0.679032738376883,1.6059063025329094,,4250,910,415,225,85,50,25
S12000045,0.45732961859800064,1.4231230192988433,,1965,305,130,65,15,10,0
S12000046,0.8402216378157001,1.6616028299035996,,9845,2355,1315,635,265,140,120
W06000001,0.47578502477717505,1.38278996367017,,1845,295,110,55,20,5,0
W06000002,0.537036232701302,1.433376963822451,,3875,675,295,125,35,25,5
W06000003,0.711526447026043,1.3888076332319463,,2855,580,250,135,30,15,5
W06000004,0.7148184190919062,1.431071492748149,,2340,505,200,115,30,10,10
W06000005,0.5786417659560106,1.621887539120668,,3180,610,295,155,55,25,20
W06000006,0.6551979917124263,1.5141963571988235,,2595,525,240,125,30,25,10
W06000008,0.305221050204775,1.4345932620816124,,3190,440,180,65,20,10,5
W06000009,0.5931886521249798,1.36220640331048,,4010,730,290,125,40,15,5
W06000010,0.23503544467765386,1.5494586621979158,,5730,800,325,145,45,15,20
W06000011,0.7411785716807735,1.5422897150451373,,3790,855,380,205,75,30,25
W06000012,0.8227380078384207,1.4656645220575142,,1825,425,200,100,35,20,5
W06000013,0.8304831437338914,1.4180671599535746,,2205,510,220,145,25,20,5
W06000014,0.5987602119483476,1.405684540997103,,2615,485,210,85,25,15,5
W06000015,0.7110373001159963,1.6475410932364944,,6075,1335,670,325,130,85,50
