la,"(0, 4)","(5, 40)","(41, 44)","(45, 46)","(46, 47)","(47, 48)","(49, 54)","(55, 57)","(58, 64)","(64, 67)","(68, 69)","(69, 76)","(77, 83)","(84, 85)","(85, 86)","(86, 89)","(90, 100)",Total
E06000001,65,205,335,70,55,185,90,185,60,20,50,620,165,5,40,100,145,2395
E06000002,10,210,390,95,110,265,95,255,125,50,95,780,275,5,70,175,200,3205
E06000003,140,230,415,125,70,250,120,250,80,25,50,775,235,5,60,150,210,3190
E06000004,90,375,705,175,165,360,200,325,245,80,130,1495,455,15,80,265,335,5495
E06000005,170,185,355,140,90,280,145,245,155,55,95,535,225,10,70,195,260,3210
E06000006,35,325,450,110,165,240,445,185,220,60,100,570,310,5,70,165,205,3660
E06000007,115,450,815,250,305,505,530,330,680,160,230,1860,735,15,155,380,455,7970
E06000008,80,450,405,210,300,580,175,305,180,150,160,575,375,5,80,335,290,4655
E06000009,15,210,535,130,125,465,260,510,175,55,120,410,300,0,65,210,280,3865
E06000010,25,625,800,265,285,615,315,550,210,110,215,670,455,5,130,350,435,6060
E06000011,1965,930,1820,430,510,915,1190,905,520,200,440,1905,950,115,205,520,840,14360
E06000012,80,355,720,225,195,505,420,325,135,40,145,565,350,15,95,220,285,4675
E06000013,480,390,715,265,200,410,480,340,145,75,125,655,360,40,95,230,405,5410
E06000014,255,325,745,185,210,530,185,625,530,175,320,1340,520,30,155,335,490,6955
E06000015,35,520,885,305,275,615,485,455,520,165,225,1225,560,15,155,485,440,7365
E06000016,15,1235,775,420,655,1300,965,725,760,690,450,1450,850,0,210,855,625,11980
E06000017,225,115,185,45,90,155,45,105,100,35,60,405,140,20,50,60,115,1950
E06000018,15,590,830,295,370,845,400,585,600,400,435,1415,705,5,185,660,555,8890
E06000019,2380,660,1080,310,380,640,235,505,425,85,320,1180,785,105,175,305,570,10140
E06000020,190,475,545,205,255,385,270,285,420,75,150,685,400,30,100,225,290,4985
E06000021,30,595,770,330,330,660,510,425,250,100,150,610,485,5,105,365,435,6155
E06000022,330,360,985,200,245,560,175,545,805,135,305,1795,620,35,170,370,575,8210
E06000023,40,850,1975,490,525,1210,860,1095,2055,610,665,3715,1535,5,300,930,1200,18060
E06000024,395,485,1190,315,320,555,420,450,735,260,295,1605,720,30,165,365,485,8790
E06000025,440,585,1625,360,330,500,615,405,970,205,290,1790,845,40,165,440,535,10140
E06000026,60,300,985,240,155,525,200,535,270,115,245,835,390,5,145,390,375,5770
E06000027,105,200,665,140,135,430,125,500,185,55,165,445,310,5,95,230,295,4085
E06000028,20,270,985,175,225,600,150,530,560,135,305,1040,535,0,150,370,440,6490
E06000029,25,465,1060,220,275,455,155,300,550,135,320,965,515,5,100,265,380,6190
E06000030,115,340,950,225,215,415,555,365,940,130,205,1430,590,15,160,335,405,7390
E06000031,165,360,700,340,310,535,885,310,505,135,280,960,515,25,170,350,355,6900
E06000032,10,350,935,230,255,565,655,295,630,110,260,1920,2555,5,140,445,300,9660
E06000033,25,375,1090,175,230,675,170,450,585,185,270,1155,635,5,115,380,440,6960
E06000034,40,305,1250,250,220,365,880,245,450,65,125,875,510,0,100,335,250,6265
E06000035,70,490,1760,290,310,580,480,480,560,110,200,1285,695,10,175,495,435,8425
E06000036,40,165,655,115,180,230,135,135,795,100,85,1025,505,5,95,180,275,4720
E06000037,330,515,1070,225,390,400,255,295,1165,160,300,2050,755,45,145,230,645,8975
E06000038,15,210,575,165,210,375,315,315,1475,185,190,1485,650,5,125,395,350,7040
E06000039,10,270,525,195,295,450,630,205,1185,100,140,895,465,0,80,320,235,6000
E06000040,80,370,815,195,395,505,220,350,1365,180,315,2500,935,15,185,360,605,9390
E06000041,90,325,920,180,305,380,195,215,1760,130,190,2145,820,15,120,300,465,8555
E06000042,145,595,1200,325,540,640,580,420,2315,265,370,2445,1110,35,220,655,665,12525
E06000043,45,435,1330,175,405,1390,150,1025,1930,205,495,2760,1140,0,310,630,1240,13665
E06000044,10,360,1010,195,175,440,200,555,400,75,190,845,505,0,95,305,415,5775
E06000045,15,405,1055,250,210,470,480,505,465,115,200,1005,540,5,160,425,405,6710
E06000046,310,305,580,125,135,410,115,555,210,45,165,575,355,25,125,210,370,4615
E06000047,1345,995,1890,555,415,1130,740,1130,475,170,325,1745,970,75,240,590,1000,13790
E06000049,1425,1020,1820,575,885,1245,645,885,1565,515,705,4280,2045,75,325,805,1220,20035
E06000050,995,655,1345,395,485,925,510,690,1005,310,475,3140,1295,75,235,620,870,14025
E06000051,3330,875,1680,505,670,975,460,940,640,185,510,2065,1030,105,240,575,865,15650
E06000052,4210,1440,3170,725,705,2050,630,2290,770,245,725,2405,1510,155,345,880,1375,23630
E06000053,45,10,20,0,0,20,20,50,5,0,5,5,10,0,5,0,10,205
E06000054,2140,1250,2665,700,770,1320,610,1100,1855,415,745,4770,2650,155,2120,850,1505,25620
E06000055,250,360,845,340,325,455,325,325,565,135,240,1265,525,25,150,385,445,6960
E06000056,455,785,2030,405,520,695,600,520,1105,230,300,2960,3565,55,320,380,755,15680
E06000057,1885,660,1280,345,320,865,345,970,435,120,315,1535,785,90,165,440,735,11290
E07000004,695,540,1170,315,390,485,330,340,970,150,320,2035,975,65,185,360,575,9900
E07000005,135,240,725,135,235,365,115,180,820,135,225,1695,520,15,130,230,440,6340
E07000006,70,185,555,120,200,265,165,185,620,110,410,1210,475,10,90,215,375,5260
E07000007,195,555,1150,260,445,505,265,335,1205,155,285,2160,840,25,195,365,640,9580
E07000008,105,180,320,45,115,305,55,360,770,85,175,1195,385,0,200,270,405,4970
E07000009,465,255,640,155,175,195,165,160,280,45,115,615,310,30,65,110,280,4060
E07000010,420,260,615,165,165,250,250,200,130,35,90,335,220,15,45,90,190,3475
E07000011,510,545,1055,260,370,425,330,330,660,120,250,1340,610,60,125,300,475,7765
E07000012,555,525,950,200,350,365,175,275,885,105,270,1795,650,70,180,335,445,8130
E07000026,1075,225,525,115,80,270,125,425,80,80,90,555,340,45,75,135,260,4500
E07000027,75,150,285,65,30,150,30,165,55,20,30,480,215,5,25,80,135,1995
E07000028,815,210,565,190,135,295,280,325,130,360,165,420,245,25,75,175,265,4675
E07000029,470,105,250,60,30,130,55,205,60,10,30,600,260,15,45,85,155,2565
E07000030,1320,160,370,85,90,215,130,250,75,30,75,290,200,40,60,85,150,3625
E07000031,1080,370,770,175,180,555,125,700,205,65,200,780,430,50,145,205,360,6395
E07000032,290,385,680,170,185,350,195,275,200,75,135,640,310,20,75,190,285,4460
E07000033,100,195,325,105,100,190,140,135,75,55,100,305,270,15,40,75,140,2365
E07000034,35,325,435,175,200,320,140,255,165,75,100,430,240,5,60,185,195,3340
E07000035,910,290,480,125,160,345,175,385,215,45,165,650,275,45,65,130,225,4685
E07000036,85,440,615,175,170,280,155,220,185,65,115,515,245,5,60,150,215,3695
E07000037,315,305,420,140,150,305,170,295,235,60,115,635,275,15,70,165,250,3920
E07000038,325,250,550,135,185,235,145,200,160,60,115,420,210,15,50,120,165,3340
E07000039,300,245,490,135,155,220,220,200,200,55,130,600,280,25,75,145,215,3690
E07000040,1065,340,835,210,185,510,170,450,285,80,235,785,435,50,95,250,355,6335
E07000041,45,205,495,140,145,330,100,250,280,145,205,750,300,5,95,275,310,4075
E07000042,1420,300,535,155,160,225,130,200,130,40,95,400,245,35,55,135,250,4510
E07000043,1315,245,585,160,120,350,100,440,160,50,130,440,285,35,60,175,245,4895
E07000044,895,325,605,130,165,415,100,385,225,70,195,655,305,40,70,175,295,5050
E07000045,710,355,800,230,210,400,160,405,255,85,210,720,400,35,100,260,320,5655
E07000046,1330,200,410,115,90,200,80,215,95,30,80,295,175,20,50,95,145,3625
E07000047,1040,145,285,95,85,215,70,205,125,25,85,275,165,30,45,105,160,3155
E07000048,20,140,325,70,90,170,60,125,150,50,65,320,160,0,50,70,130,1995
E07000049,220,345,765,170,205,270,110,160,315,110,170,725,315,15,60,150,260,4365
E07000050,660,230,470,130,125,250,90,150,190,40,95,430,225,35,55,105,220,3500
E07000051,195,165,315,60,75,160,45,195,125,25,75,245,145,15,30,65,150,2085
E07000052,1040,325,600,170,180,435,75,405,230,70,200,715,375,45,65,210,370,5510
E07000053,60,100,270,40,40,185,60,250,85,15,55,220,110,5,35,90,155,1775
E07000061,20,140,450,90,95,260,75,280,195,60,120,460,270,0,65,230,235,3045
E07000062,25,185,455,80,90,245,65,245,195,30,105,375,205,0,60,175,215,2750
E07000063,175,275,580,115,165,335,90,205,380,50,140,850,335,15,95,195,360,4360
E07000064,415,220,595,135,135,335,85,280,245,55,130,670,320,25,70,190,270,4175
E07000065,745,495,1310,300,335,525,130,345,655,125,265,1530,715,40,155,295,560,8525
E07000066,45,525,1525,215,365,425,415,235,625,140,160,1275,635,5,110,350,340,7390
E07000067,410,515,1185,230,320,350,250,290,445,75,200,1095,510,50,125,230,400,6680
E07000068,85,190,725,110,165,270,105,165,470,115,145,905,395,10,70,180,275,4380
E07000069,10,215,900,105,105,220,165,150,200,55,90,485,250,0,60,100,165,3275
E07000070,230,375,1285,260,295,460,220,330,785,195,285,1545,670,25,170,340,440,7910
E07000071,255,375,1095,225,270,495,205,355,560,155,255,1210,565,25,135,405,410,6995
E07000072,235,380,1500,180,385,480,255,280,595,155,415,1285,720,15,140,245,490,7755
E07000073,5,210,565,90,185,155,245,115,195,35,75,380,265,0,70,175,165,2930
E07000074,210,280,650,115,135,220,130,175,160,60,110,530,270,20,50,100,185,3400
E07000075,70,255,745,130,130,230,150,140,270,65,90,645,285,15,70,105,210,3605
E07000076,265,320,815,205,150,385,180,335,195,45,130,490,305,25,85,215,280,4425
E07000077,365,340,755,155,245,300,190,200,420,120,185,1045,455,35,110,155,290,5365
E07000078,60,210,540,125,145,355,100,295,660,225,230,1205,450,5,95,260,320,5280
E07000079,770,330,610,135,225,435,105,340,390,110,225,1190,450,50,95,165,420,6045
E07000080,590,270,455,150,130,235,180,200,225,40,105,515,280,35,65,135,215,3825
E07000081,15,245,540,135,140,255,195,230,305,70,115,495,305,10,75,240,250,3620
E07000082,495,435,715,170,240,360,175,280,500,90,165,1135,450,35,120,225,375,5965
E07000083,375,275,520,130,165,220,135,155,370,80,125,780,330,35,85,140,220,4140
E07000084,280,390,910,205,290,315,260,235,1195,150,200,1715,665,35,135,280,440,7700
E07000085,300,370,830,195,250,375,130,215,640,115,215,1425,530,35,125,250,390,6390
E07000086,50,385,890,170,210,1110,240,210,480,110,130,980,445,15,95,225,325,6070
E07000087,45,335,755,140,155,225,135,195,430,110,145,850,390,5,100,175,270,4460
E07000088,5,180,360,65,60,150,80,160,125,15,50,290,175,0,30,90,155,1990
E07000089,95,210,575,155,165,215,95,175,795,70,140,1250,400,20,85,155,305,4905
E07000090,35,315,920,140,120,275,135,205,335,70,115,715,340,5,80,185,265,4255
E07000091,395,530,1165,260,295,575,270,430,545,145,355,1385,585,25,155,305,510,7930
E07000092,10,205,490,115,110,225,125,160,450,60,85,635,340,0,60,120,180,3370
E07000093,310,385,795,205,260,320,255,235,565,125,220,1245,480,25,105,255,375,6160
E07000094,435,335,760,150,235,1010,135,250,685,130,280,1710,575,30,145,255,415,7535
E07000095,40,245,880,160,245,280,235,170,265,75,110,585,385,0,60,145,215,4095
E07000096,130,355,1130,180,315,405,315,265,1125,140,215,1655,685,15,145,295,510,7880
E07000098,40,265,935,125,445,605,455,225,795,185,440,1385,730,5,95,255,430,7415
E07000099,185,395,715,190,285,420,185,270,725,95,255,1430,525,20,130,270,400,6495
E07000102,40,215,755,135,255,290,190,165,675,105,215,1175,405,5,80,235,300,5240
E07000103,5,200,615,115,255,325,185,210,745,90,145,935,445,0,70,245,265,4850
E07000105,410,355,805,160,370,365,165,245,395,335,195,1005,520,35,90,255,315,6020
E07000106,180,250,750,160,200,460,140,400,335,80,190,945,425,15,120,285,395,5330
E07000107,25,250,805,125,170,245,250,185,390,75,100,775,355,5,65,210,180,4210
E07000108,195,190,535,115,115,280,165,275,165,35,70,490,240,40,80,170,220,3380
E07000109,40,200,790,115,100,250,350,220,245,40,95,560,360,5,75,185,210,3840
E07000110,305,400,1275,240,305,400,355,300,470,125,220,1265,650,30,120,315,420,7195
E07000111,200,335,970,195,360,365,145,260,625,165,255,1365,645,30,110,215,400,6640
E07000112,200,175,595,125,105,300,135,330,200,45,125,630,295,15,70,180,235,3760
E07000113,225,350,915,175,175,305,260,315,250,60,125,700,375,25,80,215,295,4845
E07000114,70,260,630,125,120,380,125,380,210,55,115,495,290,10,80,180,270,3795
E07000115,140,295,885,155,235,305,175,225,500,130,160,1175,540,25,110,220,310,5585
E07000116,285,270,650,125,260,425,100,280,615,150,205,1530,635,20,120,255,410,6335
E07000117,60,275,330,110,130,280,80,190,115,50,75,320,190,5,35,150,170,2565
E07000118,240,260,565,175,180,355,225,240,285,90,130,730,340,10,80,195,270,4370
E07000119,195,185,335,90,110,305,100,225,265,65,145,565,240,15,65,140,210,3255
E07000120,65,255,285,105,130,225,125,170,65,45,85,205,170,0,40,145,160,2275
E07000121,500,270,580,165,165,405,175,360,220,60,130,640,300,15,85,230,280,4580
E07000122,190,305,335,125,150,290,125,170,100,45,95,305,235,15,35,150,180,2850
E07000123,185,285,600,205,270,510,205,275,250,205,240,785,410,15,80,310,325,5155
E07000124,550,190,360,110,160,275,105,220,120,65,130,450,220,10,60,115,190,3330
E07000125,120,250,325,110,150,225,155,150,115,45,60,345,215,5,35,125,160,2590
E07000126,190,290,545,175,155,320,170,180,245,80,125,555,340,10,85,170,265,3900
E07000127,455,300,565,185,225,320,255,240,205,75,160,610,355,10,70,170,265,4465
E07000128,430,290,620,160,175,430,190,270,200,45,120,535,285,20,50,155,240,4215
E07000129,120,290,645,125,150,240,210,135,215,590,250,580,305,20,65,170,210,4320
E07000130,210,715,825,240,325,530,305,365,460,130,205,1765,660,25,145,315,410,7630
E07000131,580,305,515,150,255,330,185,225,290,195,245,910,420,35,110,175,300,5225
E07000132,290,420,550,150,225,285,280,240,270,80,165,710,350,25,100,160,295,4595
E07000133,380,155,305,80,115,160,85,115,105,40,80,425,195,15,45,80,145,2525
E07000134,205,315,490,185,220,275,280,200,235,105,145,685,350,25,100,130,255,4200
E07000135,10,200,235,60,130,165,95,95,130,45,75,265,130,0,40,185,105,1965
E07000136,325,130,245,105,95,180,285,130,40,25,55,155,175,10,30,105,120,2210
E07000137,1120,345,630,210,215,530,175,575,105,40,135,420,335,60,75,165,325,5460
E07000138,20,150,330,110,85,260,125,220,130,50,100,345,175,5,60,170,195,2530
E07000139,505,265,655,160,160,240,380,205,155,50,135,525,285,50,90,165,225,4250
E07000140,685,200,490,130,195,235,785,150,100,45,60,325,280,20,55,110,165,4030
E07000141,495,365,775,190,305,435,255,280,335,120,200,1030,440,45,115,220,315,5920
E07000142,600,235,525,150,125,205,230,200,105,45,130,495,250,55,75,130,195,3750
E07000143,725,455,660,195,225,355,215,260,170,70,120,640,375,65,85,180,295,5090
E07000144,380,335,990,185,215,310,415,220,260,85,175,710,415,45,80,205,270,5295
E07000145,125,215,365,100,95,270,100,360,60,25,70,475,245,25,30,130,205,2895
E07000146,760,365,900,220,215,470,225,370,175,55,140,565,365,70,75,195,300,5465
E07000147,615,270,555,140,155,415,105,445,150,35,115,460,305,80,55,150,285,4335
E07000148,30,245,375,175,175,455,145,395,360,115,185,810,330,5,105,310,360,4575
E07000149,730,340,755,215,205,335,210,275,305,80,165,920,385,85,100,260,300,5665
E07000150,15,220,215,195,95,145,360,100,95,25,60,265,180,5,35,120,120,2250
E07000151,465,310,455,175,225,225,275,155,275,50,160,870,365,45,105,135,270,4560
E07000152,275,230,570,135,180,235,300,190,210,65,115,610,295,35,95,160,235,3935
E07000153,140,280,550,150,165,265,355,205,220,60,115,540,290,15,85,165,220,3820
E07000154,25,460,1115,280,320,545,1215,405,635,185,235,1685,785,15,185,540,510,9140
E07000155,475,295,670,175,200,215,155,195,440,80,165,1080,540,55,105,145,320,5310
E07000156,95,280,430,130,180,205,345,140,185,40,90,475,275,15,65,125,205,3280
E07000163,775,195,390,75,145,255,105,250,125,45,130,430,215,25,30,235,200,3625
E07000164,1380,305,515,160,210,315,125,300,140,75,185,730,350,45,75,165,280,5355
E07000165,1120,435,910,255,445,620,185,470,550,200,430,1745,675,50,165,330,540,9125
E07000166,770,125,275,75,75,155,80,220,75,15,95,300,170,35,40,70,185,2760
